"ID_REF"	"GSM2509848"	"GSM2509849"	"GSM2509850"	"GSM2509851"
"3305622_st"	10.24432	10.54926	11.53319	11.7771
"3305631_st"	9.896649	9.596813	10.60521	10.80208
"3305632_st"	12.40875	12.54115	13.06108	13.21535
"3305637_st"	11.32528	11.45396	11.85874	12.23647
"3305644_st"	10.54082	10.71871	11.37841	11.64841
"3305646_st"	11.96753	12.19199	12.87652	13.04161
"3305648_st"	12.2689	12.39307	12.85494	13.05892
"3305650_st"	12.63162	12.76627	13.11705	13.12204
"3330656_st"	9.992173	9.912828	10.09237	10.28449
"3330658_st"	11.94647	11.9341	12.00745	12.44636
"3330668_st"	11.65611	11.7496	11.70043	11.6757
"3330670_st"	10.87574	10.84269	10.96837	11.00157
"3330673_st"	9.822206	9.867824	10.01513	9.929986
"3330679_st"	10.28744	9.998501	10.31272	10.40507
"3330681_st"	7.33726	7.998362	8.210474	7.862386
"3332060_st"	9.978571	9.845234	9.517674	9.688732
"3332063_st"	10.72104	10.95022	10.70554	10.81968
"3332072_st"	10.78787	11.05559	11.23898	11.22594
"3332080_st"	8.542574	7.708582	7.765567	7.702497
"3343107_st"	10.38959	10.4019	10.44186	10.81054
"3343116_st"	12.6019	12.47973	12.5198	12.60919
"3343119_st"	11.72094	11.75275	11.56906	11.40195
"3343123_st"	12.03879	12.0367	11.84587	12.01108
"3343126_st"	11.65942	11.40874	11.5563	11.75319
"3343129_st"	12.14584	12.00647	11.97337	11.81218
"3343131_st"	11.66614	11.55025	11.47497	11.5425
"3349230_st"	11.48644	11.4566	11.71176	11.45678
"3349235_st"	11.32714	11.36685	11.52056	11.24389
"3360062_st"	11.3708	11.13968	11.5277	11.3849
"3360064_st"	11.8716	11.62443	11.82916	11.74828
"3360068_st"	10.75035	10.55238	10.64625	10.7446
"3360070_st"	10.28606	10.45119	10.24286	10.60864
"3371010_st"	7.879335	7.11852	7.13144	8.1419
"3371019_st"	8.847713	8.012398	8.192093	8.389995
"3371021_st"	10.99574	10.53718	10.99167	10.73848
"3371023_st"	8.88252	8.486671	8.165959	8.487677
"3371024_st"	8.281742	7.882395	8.46029	8.083263
"3371025_st"	9.494775	9.254932	9.567879	9.775543
"3371028_st"	6.91838	5.863189	6.790635	6.312147
"3371030_st"	7.273417	6.971077	6.546268	7.722531
"3371034_st"	7.924572	6.757683	6.777544	7.802254
"3371037_st"	10.29515	10.20513	10.85191	10.68406
"3371040_st"	10.23836	9.644685	10.35089	10.54323
"3371045_st"	9.851686	9.712888	9.999591	9.950861
"3371048_st"	8.538032	8.344116	8.46029	8.874857
"3371050_st"	9.881817	9.558821	9.671911	9.362403
"3371052_st"	4.925304	2.090559	2.943085	5.079633
"3371055_st"	8.158405	8.534145	8.693346	8.459265
"3371067_st"	10.3979	10.7112	10.85717	10.72831
"3371071_st"	8.510603	8.822442	8.853963	9.503248
"3371074_st"	7.741194	7.298836	7.816724	8.063176
"3371080_st"	4.483959	3.609473	4.008414	3.87569
"3371082_st"	6.153996	4.026236	4.044612	4.925304
"3371083_st"	7.639952	7.321562	7.079052	8.022142
"3371084_st"	5.120709	5.036428	4.468682	6.232842
